t              u1              u2
0.459705       0.501081      -0.397419
0.460563       0.502079      -0.397229
0.461420       0.503077      -0.397038
0.462277       0.504075      -0.396847
0.463134       0.505074      -0.396656
0.463991       0.506072      -0.396464
0.464848       0.507070      -0.396272
0.465704       0.508069      -0.396079
0.466561       0.509067      -0.395885
0.467417       0.510065      -0.395691
0.468274       0.511063      -0.395497
0.469130       0.512062      -0.395302
0.469986       0.513060      -0.395107
0.470842       0.514058      -0.394911
0.471698       0.515057      -0.394714
0.472553       0.516055      -0.394518
0.473409       0.517053      -0.394320
0.474264       0.518051      -0.394122
0.475120       0.519050      -0.393924
0.475975       0.520048      -0.393725
0.476830       0.521046      -0.393526
0.477685       0.522045      -0.393326
0.478540       0.523043      -0.393126
0.479395       0.524041      -0.392925
0.480250       0.525040      -0.392724
0.481104       0.526038      -0.392522
0.481959       0.527036      -0.392320
0.482813       0.528034      -0.392118
0.483667       0.529033      -0.391914
0.484521       0.530031      -0.391711
0.485375       0.531029      -0.391507
0.486229       0.532028      -0.391302
0.487083       0.533026      -0.391097
0.487937       0.534024      -0.390892
0.488790       0.535022      -0.390686
0.489644       0.536021      -0.390479
0.490497       0.537019      -0.390272
0.491350       0.538017      -0.390065
0.492203       0.539016      -0.389857
0.493057       0.540014      -0.389649
0.493910       0.541012      -0.389440
0.494762       0.542010      -0.389231
0.495615       0.543009      -0.389021
0.496468       0.544007      -0.388811
0.497320       0.545005      -0.388600
0.498173       0.546004      -0.388389
0.499025       0.547002      -0.388177
0.499877       0.548000      -0.387965
0.500730       0.548999      -0.387753
0.501582       0.549997      -0.387540
0.502434       0.550995      -0.387326
0.503286       0.551993      -0.387112
0.504137       0.552992      -0.386898
0.504989       0.553990      -0.386683
0.505841       0.554988      -0.386467
0.506692       0.555987      -0.386252
0.507544       0.556985      -0.386035
0.508395       0.557983      -0.385819
0.509246       0.558982      -0.385602
0.510097       0.559980      -0.385384
0.510948       0.560978      -0.385166
0.511799       0.561976      -0.384947
0.512650       0.562975      -0.384728
0.513501       0.563973      -0.384509
0.514352       0.564971      -0.384289
0.515202       0.565970      -0.384069
0.516053       0.566968      -0.383848
0.516903       0.567966      -0.383626
0.517754       0.568964      -0.383405
0.518604       0.569963      -0.383183
0.519454       0.570961      -0.382960
0.520304       0.571959      -0.382737
0.521154       0.572958      -0.382513
0.522004       0.573956      -0.382289
0.522854       0.574954      -0.382065
0.523704       0.575953      -0.381840
0.524554       0.576951      -0.381615
0.525404       0.577949      -0.381389
0.526253       0.578947      -0.381163
0.527103       0.579946      -0.380936
0.527952       0.580944      -0.380709
0.528801       0.581942      -0.380481
0.529651       0.582941      -0.380253
0.530500       0.583939      -0.380025
0.531349       0.584937      -0.379796
0.532198       0.585936      -0.379566
0.533047       0.586934      -0.379337
0.533896       0.587932      -0.379106
0.534745       0.588931      -0.378876
0.535594       0.589929      -0.378645
0.536442       0.590927      -0.378413
0.537291       0.591925      -0.378181
0.538140       0.592924      -0.377949
0.538988       0.593922      -0.377716
0.539837       0.594920      -0.377482
0.540685       0.595919      -0.377249
0.541533       0.596917      -0.377015
0.542382       0.597915      -0.376780
0.543230       0.598914      -0.376545
0.544078       0.599912      -0.376309
0.544926       0.600910      -0.376073
0.545774       0.601908      -0.375837
0.546622       0.602907      -0.375600
0.547470       0.603905      -0.375363
0.548318       0.604903      -0.375125
0.549165       0.605902      -0.374887
0.550013       0.606900      -0.374649
0.550861       0.607898      -0.374410
0.551708       0.608897      -0.374170
0.552556       0.609895      -0.373931
0.553404       0.610893      -0.373690
0.554251       0.611891      -0.373450
0.555098       0.612890      -0.373209
0.555946       0.613888      -0.372967
0.556793       0.614886      -0.372725
0.557640       0.615885      -0.372483
0.558487       0.616883      -0.372240
0.559335       0.617881      -0.371997
0.560182       0.618880      -0.371753
0.561029       0.619878      -0.371509
0.561876       0.620876      -0.371264
0.562723       0.621875      -0.371019
0.563570       0.622873      -0.370774
0.564416       0.623871      -0.370528
0.565263       0.624869      -0.370282
0.566110       0.625868      -0.370035
0.566957       0.626866      -0.369788
0.567803       0.627864      -0.369541
0.568650       0.628863      -0.369293
0.569497       0.629861      -0.369044
0.570343       0.630859      -0.368796
0.571190       0.631858      -0.368547
0.572036       0.632856      -0.368297
0.572883       0.633854      -0.368047
0.573729       0.634853      -0.367797
0.574575       0.635851      -0.367546
0.575422       0.636849      -0.367294
0.576268       0.637847      -0.367043
0.577114       0.638846      -0.366791
0.577960       0.639844      -0.366538
0.578807       0.640842      -0.366285
0.579653       0.641841      -0.366032
0.580499       0.642839      -0.365778
0.581345       0.643837      -0.365524
0.582191       0.644836      -0.365269
0.583037       0.645834      -0.365014
0.583883       0.646832      -0.364759
