t              u1             u2             u3
0.391250       1.000000       3.173750       3.000000
0.391875       1.000000       3.175625       3.000000
0.392500       1.000000       3.177500       3.000000
0.393125       1.000000       3.179375       3.000000
0.393750       1.000000       3.181250       3.000000
0.394375       1.000000       3.183125       3.000000
0.395000       1.000000       3.185000       3.000000
0.395625       1.000000       3.186875       3.000000
0.396250       1.000000       3.188750       3.000000
0.396875       1.000000       3.190625       3.000000
0.397500       1.000000       3.192500       3.000000
0.398125       1.000000       3.194375       3.000000
0.398750       1.000000       3.196250       3.000000
0.399375       1.000000       3.198125       3.000000
0.400000       1.000000       3.200000       3.000000
0.400625       1.000000       3.201875       3.000000
0.401250       1.000000       3.203750       3.000000
0.401875       1.000000       3.205625       3.000000
0.402500       1.000000       3.207500       3.000000
0.403125       1.000000       3.209375       3.000000
0.403750       1.000000       3.211250       3.000000
0.404375       1.000000       3.213125       3.000000
0.405000       1.000000       3.215000       3.000000
0.405625       1.000000       3.216875       3.000000
0.406250       1.000000       3.218750       3.000000
0.406875       1.000000       3.220625       3.000000
0.407500       1.000000       3.222500       3.000000
0.408125       1.000000       3.224375       3.000000
0.408750       1.000000       3.226250       3.000000
0.409375       1.000000       3.228125       3.000000
0.410000       1.000000       3.230000       3.000000
0.410625       1.000000       3.231875       3.000000
0.411250       1.000000       3.233750       3.000000
0.411875       1.000000       3.235625       3.000000
0.412500       1.000000       3.237500       3.000000
0.413125       1.000000       3.239375       3.000000
0.413750       1.000000       3.241250       3.000000
0.414375       1.000000       3.243125       3.000000
0.415000       1.000000       3.245000       3.000000
0.415625       1.000000       3.246875       3.000000
0.416250       1.000000       3.248750       3.000000
0.416875       1.000000       3.250625       3.000000
0.417500       1.000000       3.252500       3.000000
0.418125       1.000000       3.254375       3.000000
0.418750       1.000000       3.256250       3.000000
0.419375       1.000000       3.258125       3.000000
0.420000       1.000000       3.260000       3.000000
0.420625       1.000000       3.261875       3.000000
0.421250       1.000000       3.263750       3.000000
0.421875       1.000000       3.265625       3.000000
0.422500       1.000000       3.267500       3.000000
0.423125       1.000000       3.269375       3.000000
0.423750       1.000000       3.271250       3.000000
0.424375       1.000000       3.273125       3.000000
0.425000       1.000000       3.275000       3.000000
0.425625       1.000000       3.276875       3.000000
0.426250       1.000000       3.278750       3.000000
0.426875       1.000000       3.280625       3.000000
0.427500       1.000000       3.282500       3.000000
0.428125       1.000000       3.284375       3.000000
0.428750       1.000000       3.286250       3.000000
0.429375       1.000000       3.288125       3.000000
0.430000       1.000000       3.290000       3.000000
0.430625       1.000000       3.291875       3.000000
0.431250       1.000000       3.293750       3.000000
0.431875       1.000000       3.295625       3.000000
0.432500       1.000000       3.297500       3.000000
0.433125       1.000000       3.299375       3.000000
