t              u1             u2             u3
0.148568       1.000000       2.445703       3.000000
0.148901       1.000000       2.446702       3.000000
0.149234       1.000000       2.447702       3.000000
0.149567       1.000000       2.448701       3.000000
0.149900       1.000000       2.449700       3.000000
0.150233       1.000000       2.450700       3.000000
0.150566       1.000000       2.451699       3.000000
0.150899       1.000000       2.452698       3.000000
0.151233       1.000000       2.453698       3.000000
0.151566       1.000000       2.454697       3.000000
0.151899       1.000000       2.455696       3.000000
0.152232       1.000000       2.456696       3.000000
0.152565       1.000000       2.457695       3.000000
0.152898       1.000000       2.458694       3.000000
0.153231       1.000000       2.459694       3.000000
0.153564       1.000000       2.460693       3.000000
0.153897       1.000000       2.461692       3.000000
0.154231       1.000000       2.462692       3.000000
0.154564       1.000000       2.463691       3.000000
0.154897       1.000000       2.464690       3.000000
0.155230       1.000000       2.465690       3.000000
0.155563       1.000000       2.466689       3.000000
0.155896       1.000000       2.467688       3.000000
0.156229       1.000000       2.468688       3.000000
0.156562       1.000000       2.469687       3.000000
0.156895       1.000000       2.470686       3.000000
0.157229       1.000000       2.471686       3.000000
0.157562       1.000000       2.472685       3.000000
0.157895       1.000000       2.473684       3.000000
0.158228       1.000000       2.474684       3.000000
0.158561       1.000000       2.475683       3.000000
0.158894       1.000000       2.476682       3.000000
0.159227       1.000000       2.477682       3.000000
0.159560       1.000000       2.478681       3.000000
0.159893       1.000000       2.479680       3.000000
0.160227       1.000000       2.480680       3.000000
0.160560       1.000000       2.481679       3.000000
0.160893       1.000000       2.482678       3.000000
0.161226       1.000000       2.483678       3.000000
0.161559       1.000000       2.484677       3.000000
0.161892       1.000000       2.485676       3.000000
0.162225       1.000000       2.486676       3.000000
0.162558       1.000000       2.487675       3.000000
0.162891       1.000000       2.488674       3.000000
0.163225       1.000000       2.489674       3.000000
0.163558       1.000000       2.490673       3.000000
0.163891       1.000000       2.491672       3.000000
0.164224       1.000000       2.492672       3.000000
0.164557       1.000000       2.493671       3.000000
0.164890       1.000000       2.494670       3.000000
0.165223       1.000000       2.495670       3.000000
0.165556       1.000000       2.496669       3.000000
0.165889       1.000000       2.497668       3.000000
0.166223       1.000000       2.498668       3.000000
0.166556       1.000000       2.499667       3.000000
0.166889       1.000000       2.500666       3.000000
0.167222       1.000000       2.501666       3.000000
0.167555       1.000000       2.502665       3.000000
0.167888       1.000000       2.503664       3.000000
0.168221       1.000000       2.504664       3.000000
0.168554       1.000000       2.505663       3.000000
0.168887       1.000000       2.506662       3.000000
0.169221       1.000000       2.507662       3.000000
0.169554       1.000000       2.508661       3.000000
0.169887       1.000000       2.509660       3.000000
0.170220       1.000000       2.510660       3.000000
0.170553       1.000000       2.511659       3.000000
0.170886       1.000000       2.512658       3.000000
0.171219       1.000000       2.513658       3.000000
0.171552       1.000000       2.514657       3.000000
0.171885       1.000000       2.515656       3.000000
0.172219       1.000000       2.516656       3.000000
0.172552       1.000000       2.517655       3.000000
